,Mun_Ori,Mun_Des,O_long,O_lat,D_long,D_lat,Lat_pueblo_O,Long_pueblo_O,Lat_pueblo_D,Long_pueblo_D
35595,Eibar,Donostia/San Sebastian,-2.4712969753204184,43.18429172910922,-1.9808236347289236,43.30447018461625,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35596,Eibar,Donostia/San Sebastian,-2.467273016024619,43.185780306180526,-1.98330349084467,43.321060239364485,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35597,Eibar,Donostia/San Sebastian,-2.466798165149846,43.21209435546825,-1.9810393578383,43.32088051446926,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35598,Eibar,Donostia/San Sebastian,-2.4759802903184465,43.18520290900191,-1.9638624858723968,43.316340574446855,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35599,Eibar,Donostia/San Sebastian,-2.4757469086787736,43.18342838802452,-1.9971300158271277,43.28538412294351,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35600,Eibar,Donostia/San Sebastian,-2.4700438258078843,43.18680298608758,-1.981243782233088,43.31954308642647,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35601,Eibar,Donostia/San Sebastian,-2.4752096532284966,43.18462910219584,-1.9638624858723968,43.316340574446855,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35602,Eibar,Donostia/San Sebastian,-2.4675728273973063,43.18747115113367,-1.9821184942838708,43.315531775243535,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35603,Eibar,Donostia/San Sebastian,-2.4707804934449964,43.18376365787253,-2.007158930042551,43.30467218978245,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35604,Eibar,Donostia/San Sebastian,-2.471908573338363,43.18477174348045,-2.0056499030518475,43.31125304306736,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35605,Eibar,Donostia/San Sebastian,-2.4732953720714623,43.18526094594205,-2.003350484045697,43.31361806940861,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
35606,Eibar,Donostia/San Sebastian,-2.4569307037905865,43.18675830833551,-1.9764389648461973,43.303177996623646,43.1997782323138,-2.4616488769,43.2918111063554,-1.9885133578
